source,dest
https://experienceleague.adobe.com/docs/target/using/integrate/a4t/troubleshoot-a4t/minimizing-inflated-visit-and-visitor-counts-a4t.html,https://experienceleague.adobe.com/docs/target/using/integrate/a4t/a4t.html
https://experienceleague.adobe.com/docs/target/using/integrate/a4t/a4t-faq/a4t-faq-inflated-visit-and-visitor-counts.html,https://experienceleague.adobe.com/docs/target/using/integrate/a4t/a4t.html
https://experienceleague.adobe.com/docs/target/using/reports/personalization-reports/offer-reporting-groups-in-automated-personalization.html,https://experienceleague.adobe.com/docs/target/using/activities/automated-personalization/offer-reporting-groups-in-automated-personalization.html
https://experienceleague.adobe.com/docs/target/using/reports/settings/average-lift-bounds-and-confidence-interval.html,https://experienceleague.adobe.com/docs/target/using/reports/statistical-methodology/statistical-calculations.html
https://experienceleague.adobe.com/docs/target/using/reports/downloading-data-in-csv-file.html,https://experienceleague.adobe.com/docs/target/using/reports/settings/downloading-data-in-csv-file.html
https://experienceleague.adobe.com/docs/target/using/reports/auto-target-summary-report.html,https://experienceleague.adobe.com/docs/target/using/reports/personalization-reports/auto-target-summary-report.html
https://experienceleague.adobe.com/docs/target/using/reports/reports-ap.html,https://experienceleague.adobe.com/docs/target/using/reports/personalization-reports/reports-ap.html
https://experienceleague.adobe.com/docs/target/using/reports/offer-reporting-groups-in-automated-personalization.html,https://experienceleague.adobe.com/docs/target/using/activities/automated-personalization/offer-reporting-groups-in-automated-personalization.html
https://experienceleague.adobe.com/docs/target/using/reports/experience-performance-report.html,https://experienceleague.adobe.com/docs/target/using/reports/multivariate-test-reports/experience-performance-report.html?lang=en
https://experienceleague.adobe.com/docs/target/using/reports/location-contribution-report.html,https://experienceleague.adobe.com/docs/target/using/reports/multivariate-test-reports/location-contribution-report.html
https://experienceleague.adobe.com/docs/target/using/recommendations/criteria/use-dynamic-and-static-inclusion-rules.html,https://experienceleague.adobe.com/docs/target/using/recommendations/criteria/dynamic-static/use-dynamic-and-static-inclusion-rules.html
https://experienceleague.adobe.com/docs/target/using/activities/auto-target-to-optimize.html,https://experienceleague.adobe.com/docs/target/using/activities/auto-target/auto-target-to-optimize.html
https://experienceleague.adobe.com/docs/target/using/integrate/experience-cloud-device-co-op.html?lang=en,https://experienceleague.adobe.com/docs/target/using/target-home.html?lang=en
